X_Coord,X_WellPosition,Y_Coord,Y_WellPosition,Z_Coord,Z_WellPosition
0,,0,,0,A3
1,B1,1,B1,0,A4
2,C1,2,C1,0,B5
3,D1,3,D1,0,C6
4,A2,4,A2,,
5,B2,5,B2,,
6,C2,6,C2,,
7,D2,7,D2,,
8,A3,8,A3,,
9,B3,9,B3,,
10,C3,10,C3,,
11,D3,11,D3,,
12,A4,12,A4,,
13,B4,13,B4,,
14,C4,14,C4,,
15,D4,15,D4,,
16,B5,16,B5,,
17,C5,17,C5,,
18,D5,18,D5,,
19,E5,19,E5,,
20,F5,20,F5,,
21,G5,21,G5,,
22,E4,22,E4,,
23,F4,23,F4,,
24,G4,24,G4,,
25,H4,25,H4,,
26,E3,26,E3,,
27,F3,27,F3,,
28,G3,28,G3,,
29,H3,29,H3,,
30,E2,30,E2,,
31,F2,31,F2,,
32,G2,32,G2,,
33,H2,33,H2,,
34,E1,34,E1,,
35,F1,35,F1,,
36,G1,36,G1,,
37,,37,,,
